English,Kazakh
School,Мектеп
Bus,Автобус
Backpack,Арқаға асатын сөмке
Children,Балалар
Teacher,Мұғалім
Books,Кітаптар
Scissors,Қайшы
Glue,Кілей
Markers,Маркерлер
Paper,Қағаз
Table,Үстел
Chair,Орындық
Desk,Парта
Toys,Ойыншықтар
Child ,Бала
Pencil,Қарындаш
Paint,Бояу
Paintbrush,Бояғым щетка
Letters,Әріптер
Numbers,Сандар
Shapes,Пішіндер
Pen,Қалам
Slide,Сырғанағыш горка
Swings,Алтыбақан
Ball,Доп
Lunchbox,Түскі ас салып алатын ыдыс
Tablet,Планшет
Computer,Компьютер
Laptop,Ноутбук
Dinner,Кешкі ас
Breakfast,Таңғы ас
Lunch,Түскі ас 
Bread,Нан
Butter,Май
Apple,Алма
Orange,Апельсин
Swim,Жүзу
Grapes,Жүзімдер
Spoon,Қасық
Fork,Вилка немесе шаңышқы
Knife,Пышақ
Plate,Тәрелке
Eat,Тамақ жеу
Hungry,Қарны аш
Angry,Ашулы
Thirsty,Шөлдегіш
Sleep,Ұйықтау
Play,Ойнау
Dog,Ит
Cat,Мысық